id,name,idCountry,country
1,Cork,103,Ireland
2,Johannesburg,194,South Africa
3,London,237,England
5,Dublin,103,Ireland
7,Galway,103,Ireland
9,Westmeath,103,Ireland
10,Tralee,103,Ireland
11,Belfast,238,Northern Ireland
12,Kilkenny,103,Ireland
13,New York,222,USA
14,Paris,73,France
15,Amsterdam,148,Netherlands
16,Gambassiterme,105,Italy
17,Perth,13,Australia
19,Prague,56,Czech Republic
20,Munich,80,Germany
21,Melbourne,13,Australia
22,Edinburgh,239,Scotland
23,Glasgow,239,Scotland
24,Cologne,80,Germany
26,Berlin,80,Germany
27,Auckland,151,New Zealand
28,Paihia,151,New Zealand
29,Mt Ruapehu National Park,151,New Zealand
30,Ohakune,151,New Zealand
31,Noordwijk,148,Netherlands
32,Florence,105,Italy
33,Interlaken,203,Switzerland
34,Wexford,103,Ireland
35,Brussels,21,Belgium
36,Rome,105,Italy
37,Buenos Aires,10,Argentina
38,Vienna,14,Austria
39,Salzburg,14,Austria
41,Corfu,83,Greece
42,Tel Aviv,104,Israel
44,Zacatecas,136,Mexico
45,Stirling,239,Scotland
46,Moscow,175,Russia
47,St Petersburg,175,Russia
48,Copenhagen,57,Denmark
49,Cancun,136,Mexico
50,Budapest,97,Hungary
51,Istanbul,214,Turkey
52,Koycegiz,214,Turkey
53,Mexico City,136,Mexico
54,Certaldo,105,Italy
55,Armagh,238,Northern Ireland
56,Ballycastle,238,Northern Ireland
58,Newcastle,238,Northern Ireland
59,Derry,238,Northern Ireland
60,Wicklow,103,Ireland
61,Asendorf,80,Germany
63,Offaly,103,Ireland
64,Donegal,103,Ireland
65,Vancouver,38,Canada
67,Toronto,38,Canada
68,Venice,105,Italy
70,Norfolk,237,England
71,Aran Islands,103,Ireland
72,Cape Town,194,South Africa
74,Tipperary,103,Ireland
75,Las Vegas,222,USA
76,Magnetic Island,13,Australia
77,Cape Tribulation,13,Australia
78,Nadi,71,Fiji
79,Bruges,21,Belgium
80,Yerevan,11,Armenia
81,Sydney,13,Australia
82,Geneva,203,Switzerland
83,Barcelona,196,Spain
85,Berwick on Tweed,237,England
86,Stellenbosch,194,South Africa
87,Wangaratta,13,Australia
88,Atherton,13,Australia
89,Bogota,47,Colombia
90,Airlie Beach,13,Australia
92,Dresden,80,Germany
93,Singapore,189,Singapore
94,Bariloche,10,Argentina
95,Darwin,13,Australia
96,Sutherland,239,Scotland
97,Omagh,238,Northern Ireland
98,Russell Island,13,Australia
99,Isle of Skye,239,Scotland
100,Fort William,239,Scotland
101,Oban,239,Scotland
102,Inverness,239,Scotland
103,Pitlochry,239,Scotland
104,Salt Lake City,222,USA
105,Harvard,222,USA
106,Nampa,222,USA
107,Wasilla,222,USA
108,Bled,191,Slovenia
109,Hermanus,194,South Africa
110,Fermanagh,238,Northern Ireland
111,Cushendall,238,Northern Ireland
112,Ushuaia,10,Argentina
113,Bahia,30,Brazil
114,Canterbury,237,England
115,Homer,222,USA
117,Madrid,196,Spain
121,Cadiz,196,Spain
122,Sligo,103,Ireland
123,Chester,237,England
124,St Andrews,239,Scotland
126,Tampa,222,USA
127,Rio de Janeiro,30,Brazil
128,El Chalten,10,Argentina
129,San Diego,222,USA
131,Durban,194,South Africa
133,Meath,103,Ireland
135,Pucon,43,Chile
136,Plettenberg Bay,194,South Africa
137,Kowloon,96,Hong Kong China
138,Oslo,158,Norway
140,Oudtshoorn,194,South Africa
141,Quorn,13,Australia
143,Stockholm,202,Sweden
144,Central District,96,Hong Kong China
145,Borneo,127,Malaysia
148,Causeway Bay,96,Hong Kong China
149,Bangkok,208,Thailand
150,Phuket,208,Thailand
152,San Jose,52,Costa Rica
153,Eshowe,194,South Africa
154,Cairns,13,Australia
155,Phillip Island,13,Australia
156,Bright,13,Australia
158,Lima,166,Peru
159,Djupivogur,98,Iceland
160,Quito,62,Ecuador
161,Kathmandu,147,Nepal
162,Puerto Montt,43,Chile
163,Senggigi Beach,100,Indonesia
164,Oxford,237,England
165,Pretoria,194,South Africa
166,Windhoek,145,Namibia
167,Johannesburg,222,USA
168,Mossel Bay,194,South Africa
169,Mpumalanga,194,South Africa
170,Harkerville,194,South Africa
171,Manchester,237,England
172,York,237,England
174,Coral Coast,71,Fiji
175,Memphis,222,USA
176,Suva,71,Fiji
177,Lautoka,71,Fiji
178,Eugene,222,USA
179,Breckenridge,222,USA
180,Los Angeles,222,USA
181,Stradbroke Island,13,Australia
182,Gingingdlovu,194,South Africa
183,Kuala Lumpur,127,Malaysia
184,Limerick,103,Ireland
185,Surfers Paradise,13,Australia
186,Rotorua,151,New Zealand
187,Isabel Segunda,171,Puerto Rico
189,Bellingen,13,Australia
190,Methven,151,New Zealand
192,Nassau,16,Bahamas
195,Boat of Garten,239,Scotland
198,Wellington,151,New Zealand
199,Napier,151,New Zealand
200,Broken Hill,13,Australia
201,Whitianga,151,New Zealand
202,Christchurch,151,New Zealand
203,Nelson,151,New Zealand
204,Hamilton,151,New Zealand
205,Picton,151,New Zealand
206,Queenstown,151,New Zealand
208,Stornoway,239,Scotland
209,Playa del Carmen,136,Mexico
210,Elverum,158,Norway
211,Volos,83,Greece
212,Cincinnati,222,USA
213,Caernarfon,240,Wales
215,Cooktown,13,Australia
216,Golden Bay,151,New Zealand
219,Otago,151,New Zealand
220,Varanasi,99,India
221,Evje,158,Norway
223,Canberra,13,Australia
224,Riga,115,Latvia
225,Merida,136,Mexico
226,Tulum,136,Mexico
229,Palenque,136,Mexico
230,Oaxaca,136,Mexico
